Rk,Player,Team,Conf,G,Receiving_Rec,Receiving_Yds,Receiving_Yards_Per_Rec,Receiving_TD,Receiving_Yards_Per_Game,Rushing_Att,Rushing_Yds,Rushing_Yards_Per_Att,Rushing_TD,Rushing_Yards_Per_Game,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Yards_Per_Play,Scrimmage_TD,Awards
1365,Adrian Murdaugh,Sam Houston,CUSA,8,8,40,5,0,5,26,121,4.7,2,15.1,34,161,4.7,2,
1366,Andrew Henry,New Mexico,MWC,9,5,40,8,0,4.4,52,350,6.7,3,38.9,57,390,6.8,3,
1367,Caleb Anderson,Akron,MAC,11,6,40,6.7,0,3.6,0,0,,0,0,6,40,6.7,0,
1368,Chaucey Magwood*,UCF,Big 12,4,4,40,10,0,10,0,0,,0,0,4,40,10,0,
1369,Genson Hooper Price*,Coastal Carolina,Sun Belt,10,1,40,40,0,4,0,0,,0,0,1,40,40,0,
1370,Jabari Small*,Tennessee,SEC,11,7,40,5.7,0,3.6,95,475,5,2,43.2,102,515,5,2,
1371,Jalen Berger,Michigan State,Big Ten,5,5,40,8,0,8,25,93,3.7,1,18.6,30,133,4.4,1,
1372,Josh Dallas*,Georgia Southern,Sun Belt,11,4,40,10,0,3.6,0,0,,0,0,4,40,10,0,
1373,Kejon Owens,Florida International,CUSA,10,9,40,4.4,0,4,80,453,5.7,5,45.3,89,493,5.5,5,
1374,Marcus Vinson,UTEP,CUSA,12,3,40,13.3,1,3.3,1,0,0,0,0,4,40,10,1,
1375,Micah Riley-Ducker*,Auburn,SEC,13,2,40,20,1,3.1,0,0,,0,0,2,40,20,1,
1376,Raymond Niro III*,Northwestern,Big Ten,4,3,40,13.3,0,10,0,0,,0,0,3,40,13.3,0,
1377,Torry Locklin*,Kansas,Big 12,13,4,40,10,1,3.1,9,40,4.4,0,3.1,13,80,6.2,1,
1378,Tyre Shelton,Louisiana Tech,CUSA,8,9,40,4.4,0,5,97,551,5.7,5,68.9,106,591,5.6,5,
1379,Andreas Paaske*,Eastern Michigan,MAC,7,4,39,9.8,0,5.6,0,0,,0,0,4,39,9.8,0,
1380,Jake McConnachie,Pitt,ACC,5,1,39,39,1,7.8,0,0,,0,0,1,39,39,1,
1381,John Lee Eldridge III*,Air Force,MWC,13,7,39,5.6,1,3,84,599,7.1,6,46.1,91,638,7,7,
1382,Kiael Kelly,Ball State,MAC,12,6,39,6.5,0,3.3,135,724,5.4,7,60.3,141,763,5.4,7,
1383,Tennel Bryant*,Arkansas State,Sun Belt,9,5,39,7.8,0,4.3,0,0,,0,0,5,39,7.8,0,
1384,Gerald Green,East Carolina,American,8,8,38,4.8,0,4.8,25,101,4,2,12.6,33,139,4.2,2,
1385,Juwuan Price*,Syracuse,ACC,12,3,38,12.7,0,3.2,47,166,3.5,0,13.8,50,204,4.1,0,
1386,Kaleb Mathis,Colorado,Pac-12,12,6,38,6.3,0,3.2,0,0,,0,0,6,38,6.3,0,
1387,Mehki Wall*,Duke,ACC,8,6,38,6.3,1,4.8,0,0,,0,0,6,38,6.3,1,
