Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
235,Daniel Kaelin*,Virginia,ACC,7,30,52,57.7,339,1,1.9,1,1.9,6.5,6.04,11.3,48.4,115,
236,J'Mari Taylor*,Virginia,ACC,13,1,1,100,1,1,100,0,0,1,21,1,0.1,438.4,
237,Blaze Berlowitz*,Vanderbilt,SEC,6,9,17,52.9,131,1,5.9,0,0,7.7,8.88,14.6,21.8,137.1,
238,Husan Longstreet*,USC,Big Ten,4,13,15,86.7,103,1,6.7,0,0,6.9,8.2,7.9,25.8,166.3,
239,Makai Lemon*,USC,Big Ten,12,1,1,100,24,1,100,0,0,24,44,24,2,631.6,AA
240,Jacurri Brown,UCF,Big 12,3,3,5,60,97,1,20,1,20,19.4,14.4,32.3,32.3,249,
241,Agyeman Addae,UCF,Big 12,8,1,1,100,4,1,100,0,0,4,24,4,0.5,463.6,
242,Jimmy Calloway,Tulane,American,13,1,2,50,42,1,50,0,0,21,31,42,3.2,391.4,
243,Ken Seals*,Texas Christian,Big 12,4,33,46,71.7,282,1,2.2,2,4.3,6.1,4.61,8.5,70.5,121.7,
244,Miles O'Neil,Texas A&M,SEC,7,7,14,50,120,1,7.1,2,14.3,8.6,3.57,17.1,17.1,117,
245,Matthew Caldwell*,Texas,SEC,7,8,11,72.7,85,1,9.1,0,0,7.7,9.55,10.6,12.1,167.6,
246,Parker Livingstone*,Texas,SEC,13,1,1,100,4,1,100,0,0,4,24,4,0.3,463.6,
247,Jevyon Ducker,Temple,American,12,1,1,100,16,1,100,0,0,16,36,16,1.3,564.4,
248,Joseph Filardi,Syracuse,ACC,4,31,65,47.7,226,1,1.5,3,4.6,3.5,1.71,7.3,56.5,72.7,
249,Charlie Mirer,Stanford,ACC,1,2,3,66.7,22,1,33.3,0,0,7.3,14,11,22,238.3,
250,Locklan Hewlett*,South Florida,American,2,7,12,58.3,90,1,8.3,1,8.3,7.5,5.42,12.9,45,132.2,
251,Christian Neptune*,South Florida,American,11,1,1,100,29,1,100,0,0,29,49,29,2.6,673.6,
252,Nykahi Davenport*,South Florida,American,11,1,1,100,29,1,100,0,0,29,49,29,2.6,673.6,
253,Jared Hollins,South Alabama,Sun Belt,4,12,16,75,101,1,6.3,0,0,6.3,7.56,8.4,25.3,148.7,
254,Kyle Crum*,San Diego State,MWC,2,14,29,48.3,169,1,3.4,2,6.9,5.8,3.41,12.1,84.5,94.8,
255,Drew Devillier*,Rice,American,6,10,21,47.6,123,1,4.8,0,0,5.9,6.81,12.3,20.5,112.5,
256,Patrick Crayton Jr.*,Rice,American,3,7,15,46.7,73,1,6.7,2,13.3,4.9,0.2,10.4,24.3,82.9,
257,Devin Mockobee,Purdue,Big Ten,8,1,2,50,14,1,50,1,50,7,-5.5,14,1.8,173.8,
258,Cole Gonzales*,Pitt,ACC,3,11,22,50,118,1,4.5,1,4.5,5.4,4.23,10.7,39.3,101,
259,Brock Thomas*,Oregon,Big Ten,7,12,16,75,130,1,6.3,0,0,8.1,9.38,10.8,18.6,163.9,
260,Sam Jackson,Oklahoma State,Big 12,12,35,66,53,351,1,1.5,2,3,5.3,4.26,10,29.3,96.6,
261,Hauss Hejny,Oklahoma State,Big 12,1,5,10,50,96,1,10,0,0,9.6,11.6,19.2,96,163.6,
262,Noah Walters,Oklahoma State,Big 12,5,6,14,42.9,72,1,7.1,0,0,5.1,6.57,12,14.4,109.6,
263,Shamar Rigby,Oklahoma State,Big 12,12,1,1,100,63,1,100,0,0,63,83,63,5.3,959.2,
264,Lincoln Kienholz,Ohio State,Big Ten,7,11,14,78.6,139,1,7.1,0,0,9.9,11.36,12.6,19.9,185.5,
265,Joshua Burnham,Notre Dame,Ind,12,1,1,100,84,1,100,0,0,84,104,84,7,1135.6,
266,Jalen Macon,Northern Illinois,MAC,5,9,21,42.9,105,1,4.8,0,0,5,5.95,11.7,21,100.6,
267,Chris Jimerson Jr.*,North Texas,American,4,1,2,50,37,1,50,0,0,18.5,28.5,37,9.3,370.4,
268,Teddy Hoffmann*,North Carolina State,ACC,13,1,1,100,59,1,100,0,0,59,79,59,4.5,925.6,
269,Au'Tori Newkirk,North Carolina,ACC,2,3,6,50,23,1,16.7,1,16.7,3.8,-0.33,7.7,11.5,103.9,
270,Donovan Faupel,New Mexico State,CUSA,12,2,3,66.7,57,1,33.3,0,0,19,25.67,28.5,4.8,336.3,
