Rk,Player,Team,Conf,G,Receiving_Rec,Receiving_Yds,Receiving_Yards_Per_Rec,Receiving_TD,Receiving_Yards_Per_Game,Rushing_Att,Rushing_Yds,Rushing_Yards_Per_Att,Rushing_TD,Rushing_Yards_Per_Game,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Yards_Per_Play,Scrimmage_TD,Awards
488,Brandon Inniss,Ohio State,Big Ten,14,36,271,7.5,3,19.4,3,16,5.3,0,1.1,39,287,7.4,3,
489,Clay Thevenin*,Louisiana Tech,CUSA,13,33,269,8.2,0,20.7,131,634,4.8,8,48.8,164,903,5.5,8,
490,Dakota Thomas,Nevada,MWC,12,26,269,10.3,1,22.4,0,0,,0,0,26,269,10.3,1,
491,Makai Cope*,Missouri State,CUSA,12,20,269,13.5,0,22.4,0,0,,0,0,20,269,13.5,0,
492,Dillon Bell,Georgia,SEC,14,27,268,9.9,2,19.1,17,109,6.4,2,7.8,44,377,8.6,4,
493,Jordan King*,California,ACC,11,22,267,12.1,2,24.3,0,0,,0,0,22,267,12.1,2,
494,Justin Bowick*,Illinois,Big Ten,12,22,265,12,5,22.1,0,0,,0,0,22,265,12,5,
495,Terry Lockett Jr.,Eastern Michigan,MAC,5,19,263,13.8,1,52.6,0,0,,0,0,19,263,13.8,1,
496,Lloyd Avant,Colorado State,MWC,12,24,261,10.9,1,21.8,90,417,4.6,5,34.8,114,678,5.9,6,
497,Oscar Delp,Georgia,SEC,14,20,261,13.1,1,18.6,0,0,,0,0,20,261,13.1,1,
498,Sam Phillips*,Iowa,Big Ten,13,16,261,16.3,0,20.1,0,0,,0,0,16,261,16.3,0,
499,Donnie Gray,Massachusetts,MAC,12,27,260,9.6,0,21.7,4,23,5.8,0,1.9,31,283,9.1,0,
500,Jonah Dawson,Air Force,MWC,8,12,260,21.7,1,32.5,0,0,,0,0,12,260,21.7,1,
501,Roman Mothershead*,Troy,Sun Belt,13,25,259,10.4,1,19.9,0,0,,0,0,25,259,10.4,1,
502,Jojo Earle*,Nevada-Las Vegas,MWC,14,22,258,11.7,0,18.4,13,102,7.8,2,7.3,35,360,10.3,2,
503,Levi Wentz,Kansas,Big 12,12,16,258,16.1,2,21.5,0,0,,0,0,16,258,16.1,2,
