Rk,Player,Team,Conf,G,Receiving_Rec,Receiving_Yds,Receiving_Yards_Per_Rec,Receiving_TD,Receiving_Yards_Per_Game,Rushing_Att,Rushing_Yds,Rushing_Yards_Per_Att,Rushing_TD,Rushing_Yards_Per_Game,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Yards_Per_Play,Scrimmage_TD,Awards
530,Kendrick Raphael*,California,ACC,13,34,245,7.2,1,18.8,232,943,4.1,13,72.5,266,1188,4.5,14,
531,Donovan Hamilton,Ball State,MAC,12,20,244,12.2,0,20.3,0,0,,0,0,20,244,12.2,0,
532,Lavon Brown,Colorado State,MWC,12,22,244,11.1,0,20.3,0,0,,0,0,22,244,11.1,0,
533,Keontez Lewis,Oklahoma,SEC,9,21,243,11.6,2,27,0,0,,0,0,21,243,11.6,2,
534,Rodney Gallagher,West Virginia,Big 12,12,28,243,8.7,0,20.3,14,83,5.9,0,6.9,42,326,7.8,0,
535,Xavier Townsend,Iowa State,Big 12,10,18,243,13.5,0,24.3,5,18,3.6,1,1.8,23,261,11.3,1,
536,Brodie Malone-Bradford,New Mexico State,CUSA,12,22,242,11,2,20.2,0,0,,0,0,22,242,11,2,
537,Marcus Bellon,Nevada,MWC,10,25,242,9.7,1,24.2,3,10,3.3,0,1,28,252,9,1,
538,Taeshawn Lyons*,Nevada-Las Vegas,MWC,14,16,241,15.1,3,17.2,0,0,,0,0,16,241,15.1,3,
539,Brady Kluse*,Memphis,American,13,22,240,10.9,2,18.5,0,0,,0,0,22,240,10.9,2,
540,Jaylen Sargent,Wyoming,MWC,12,20,240,12,0,20,0,0,,0,0,20,240,12,0,
541,Eugene Wilson III,Florida,SEC,8,27,239,8.9,3,29.9,3,12,4,0,1.5,30,251,8.4,3,
542,Raleek Brown*,Arizona State,Big 12,12,34,239,7,2,19.9,186,1141,6.1,4,95.1,220,1380,6.3,6,
543,Tristan Smith*,Clemson,ACC,13,24,239,10,1,18.4,0,0,,0,0,24,239,10,1,
544,Eric Weatherly,Ball State,MAC,12,29,238,8.2,1,19.8,13,117,9,0,9.8,42,355,8.5,1,
545,Raiden Vines-Bright*,Washington,Big Ten,12,24,238,9.9,1,19.8,1,1,1,0,0.1,25,239,9.6,1,
546,Corey Smith,Purdue,Big Ten,12,14,237,16.9,1,19.8,0,0,,0,0,14,237,16.9,1,
547,Jai'Den Thomas*,Nevada-Las Vegas,MWC,13,39,237,6.1,1,18.2,148,1036,7,12,79.7,187,1273,6.8,13,
548,Landon Brown,Sam Houston,CUSA,12,37,237,6.4,0,19.8,84,487,5.8,5,40.6,121,724,6,5,
549,Javon Rogers*,Kennesaw State,CUSA,8,9,236,26.2,1,29.5,0,0,,0,0,9,236,26.2,1,
550,Kenny Fletcher Jr.,Rutgers,Big Ten,11,26,236,9.1,0,21.5,0,0,,0,0,26,236,9.1,0,
551,Trevon Tate,UTEP,CUSA,11,22,235,10.7,1,21.4,2,-4,-2,0,-0.4,24,231,9.6,1,
552,JP Coulter,Louisiana-Monroe,Sun Belt,12,21,234,11.1,0,19.5,0,0,,0,0,21,234,11.1,0,
553,Kameron Courtney*,Virginia,ACC,14,25,234,9.4,0,16.7,4,38,9.5,1,2.7,29,272,9.4,1,
554,Shamar Porter*,Connecticut,Ind,13,18,234,13,1,18,0,0,,0,0,18,234,13,1,
555,Bailey Stockton*,Georgia Tech,ACC,11,21,233,11.1,0,21.2,1,5,5,0,0.5,22,238,10.8,0,
556,Cole Spence*,Vanderbilt,SEC,13,15,233,15.5,2,17.9,0,0,,0,0,15,233,15.5,2,
557,Grayson Barnes,West Virginia,Big 12,12,21,232,11,2,19.3,0,0,,0,0,21,232,11,2,
558,Josh Schuchts,UTEP,CUSA,8,21,232,11,3,29,0,0,,0,0,21,232,11,3,
559,Michael Masunas,Michigan State,Big Ten,12,19,232,12.2,3,19.3,0,0,,0,0,19,232,12.2,3,
560,Caden Jensen*,Louisiana,Sun Belt,12,29,231,8,1,19.3,0,0,,0,0,29,231,8,1,
561,Tama Uiliata*,Hawaii,MWC,13,28,231,8.3,0,17.8,2,8,4,0,0.6,30,239,8,0,
562,Lyndon Ravare*,Kennesaw State,CUSA,13,20,230,11.5,1,17.7,0,0,,0,0,20,230,11.5,1,
563,Eni Falayi*,Wake Forest,ACC,12,21,228,10.9,2,19,0,0,,0,0,21,228,10.9,2,
564,Gregory Desrosiers*,Memphis,American,10,32,228,7.1,1,22.8,99,563,5.7,7,56.3,131,791,6,8,
565,Javion Kinnard,Colorado State,MWC,11,18,228,12.7,1,20.7,12,56,4.7,0,5.1,30,284,9.5,1,
566,Kyirin Heath*,Southern Mississippi,Sun Belt,11,19,228,12,3,20.7,0,0,,0,0,19,228,12,3,
567,Michael Fitzgerald,Wyoming,MWC,12,16,228,14.3,3,19,0,0,,0,0,16,228,14.3,3,
568,Rayshon Luke*,Fresno State,MWC,13,36,228,6.3,2,17.5,112,702,6.3,6,54,148,930,6.3,8,
569,Tim Burns Jr.,Sam Houston,CUSA,12,12,228,19,1,19,2,-15,-7.5,0,-1.3,14,213,15.2,1,
570,Mike Washington,Arkansas,SEC,12,28,226,8.1,1,18.8,167,1070,6.4,8,89.2,195,1296,6.6,9,
571,Antwan Raymond,Rutgers,Big Ten,12,18,225,12.5,2,18.8,244,1241,5.1,13,103.4,262,1466,5.6,15,
572,Cameron Dickey,Texas Tech,Big 12,14,25,224,9,2,16,209,1124,5.4,14,80.3,234,1348,5.8,16,
573,James BlackStrain*,Missouri State,CUSA,11,22,224,10.2,1,20.4,0,0,,0,0,22,224,10.2,1,
574,Jeron Askren*,Missouri State,CUSA,13,19,224,11.8,5,17.2,0,0,,0,0,19,224,11.8,5,
575,Jarius Mack*,Western Kentucky,CUSA,9,24,223,9.3,1,24.8,3,32,10.7,0,3.6,27,255,9.4,1,
576,Nicholas Cenacle*,Hawaii,MWC,8,28,223,8,2,27.9,0,0,,0,0,28,223,8,2,
577,Semaj Morgan*,Michigan,Big Ten,11,20,223,11.2,1,20.3,5,25,5,0,2.3,25,248,9.9,1,
578,Walker Lyons*,USC,Big Ten,12,20,223,11.2,2,18.6,0,0,,0,0,20,223,11.2,2,
579,Isaiah Johnson*,Cincinnati,Big 12,13,14,222,15.9,3,17.1,3,25,8.3,0,1.9,17,247,14.5,3,
580,Jo Silver*,Delaware,CUSA,11,29,222,7.7,1,20.2,119,652,5.5,5,59.3,148,874,5.9,6,
581,Jeremiah Noga*,Washington State,Ind,13,20,221,11.1,1,17,0,0,,0,0,20,221,11.1,1,
582,Porter Rooks,Eastern Michigan,MAC,12,27,221,8.2,0,18.4,0,0,,0,0,27,221,8.2,0,
583,Bryce Caufield,Oregon State,Ind,9,29,219,7.6,1,24.3,0,0,,0,0,29,219,7.6,1,
584,Dacari Collins*,Louisville,ACC,13,13,219,16.8,1,16.8,0,0,,0,0,13,219,16.8,1,
585,Donovan Lewis*,Delaware,CUSA,9,20,219,11,1,24.3,2,5,2.5,0,0.6,22,224,10.2,1,
586,Nicholas Singleton*,Penn State,Big Ten,12,24,219,9.1,1,18.3,123,549,4.5,13,45.8,147,768,5.2,14,
587,Reece Vander Zee*,Iowa,Big Ten,8,15,219,14.6,2,27.4,0,0,,0,0,15,219,14.6,2,
588,Broc Lane*,Utah State,MWC,11,19,218,11.5,2,19.8,0,0,,0,0,19,218,11.5,2,
589,David Larkins*,Appalachian State,Sun Belt,13,25,218,8.7,2,16.8,0,0,,0,0,25,218,8.7,2,
590,Elija Lofton*,Miami (FL),ACC,15,23,218,9.5,3,14.5,3,11,3.7,0,0.7,26,229,8.8,3,
591,Julian Gray,Liberty,CUSA,8,18,218,12.1,1,27.3,17,102,6,1,12.8,35,320,9.1,2,
592,Cole Rusk*,Illinois,Big Ten,13,19,217,11.4,1,16.7,0,0,,0,0,19,217,11.4,1,
593,Gemari Sands,Florida Atlantic,American,12,40,217,5.4,0,18.1,105,465,4.4,0,38.8,145,682,4.7,0,
594,John Michael Gyllenborg,Wyoming,MWC,9,24,217,9,1,24.1,0,0,,0,0,24,217,9,1,
595,AJ Jones,Middle Tennessee State,CUSA,12,28,216,7.7,5,18,0,0,,0,0,28,216,7.7,5,
596,Christian Bentancur*,Clemson,ACC,13,20,215,10.8,3,16.5,0,0,,0,0,20,215,10.8,3,
597,Devin Mockobee,Purdue,Big Ten,8,18,215,11.9,1,26.9,125,521,4.2,4,65.1,143,736,5.1,5,
598,Sage Ennis*,Virginia,ACC,13,23,214,9.3,5,16.5,0,0,,0,0,23,214,9.3,5,
599,Turbo Richard,Boston College,ACC,11,30,213,7.1,2,19.4,145,749,5.2,9,68.1,175,962,5.5,11,
600,Arhmad Branch,Purdue,Big Ten,9,14,212,15.1,2,23.6,0,0,,0,0,14,212,15.1,2,
601,Brett Seither*,Georgia Tech,ACC,12,11,212,19.3,0,17.7,0,0,,0,0,11,212,19.3,0,
602,Chris Domercant,UCF,Big 12,11,21,212,10.1,2,19.3,2,16,8,0,1.5,23,228,9.9,2,
603,Deamonte Trayanum*,Toledo,MAC,11,21,212,10.1,2,19.3,182,1015,5.6,12,92.3,203,1227,6,14,
604,OJ Arnold*,Georgia Southern,Sun Belt,12,21,212,10.1,1,17.7,144,1032,7.2,5,86,165,1244,7.5,6,
605,Anthony Woods,UCLA,Big Ten,11,24,211,8.8,2,19.2,63,294,4.7,0,26.7,87,505,5.8,2,
606,Kylen Evans*,Texas State,Sun Belt,13,15,211,14.1,1,16.2,0,0,,0,0,15,211,14.1,1,
607,Trech Kekahuna,Wisconsin,Big Ten,12,26,211,8.1,0,17.6,14,129,9.2,1,10.8,40,340,8.5,1,
608,Jadan Baugh,Florida,SEC,12,33,210,6.4,2,17.5,220,1170,5.3,8,97.5,253,1380,5.5,10,
609,Joshua Moore*,Miami (FL),ACC,14,17,210,12.4,2,15,0,0,,0,0,17,210,12.4,2,
610,Malick Meiga*,Coastal Carolina,Sun Belt,11,19,209,11,1,19,0,0,,0,0,19,209,11,1,
611,Myles Walker,Akron,MAC,9,20,209,10.5,0,23.2,1,7,7,0,0.8,21,216,10.3,0,
612,Reese Smith,Liberty,CUSA,12,23,209,9.1,1,17.4,0,0,,0,0,23,209,9.1,1,
613,Ty Clark*,Wake Forest,ACC,13,17,209,12.3,1,16.1,75,323,4.3,3,24.8,92,532,5.8,4,
614,Randy Pittman Jr.,Florida State,ACC,9,23,208,9,2,23.1,7,37,5.3,3,4.1,30,245,8.2,5,
615,Jeremy Payne*,Texas Christian,Big 12,11,22,207,9.4,2,18.8,110,623,5.7,5,56.6,132,830,6.3,7,
616,Sam Mbake*,Appalachian State,Sun Belt,9,24,207,8.6,1,23,0,0,,0,0,24,207,8.6,1,
617,Jameson Geers*,Minnesota,Big Ten,13,26,206,7.9,4,15.8,2,1,0.5,0,0.1,28,207,7.4,4,
618,Toric Goins Jr.,UTEP,CUSA,10,13,206,15.8,1,20.6,0,0,,0,0,13,206,15.8,1,
619,Ardell Banks,Kent State,MAC,11,12,205,17.1,2,18.6,0,5,,0,0.5,12,210,17.5,2,
620,Eli Wood*,Virginia,ACC,14,16,205,12.8,2,14.6,1,3,3,1,0.2,17,208,12.2,3,
621,Kenyon Clay*,Arkansas State,Sun Belt,13,37,205,5.5,3,15.8,139,523,3.8,3,40.2,176,728,4.1,6,
622,Cameron Flowers*,Western Kentucky,CUSA,13,19,204,10.7,1,15.7,3,7,2.3,0,0.5,22,211,9.6,1,
623,Jaleel Skinner*,Louisville,ACC,13,21,204,9.7,2,15.7,0,0,,0,0,21,204,9.7,2,
624,Daniel Hill,Alabama,SEC,14,28,203,7.3,1,14.5,75,284,3.8,6,20.3,103,487,4.7,7,
625,Landen King*,Duke,ACC,13,15,203,13.5,4,15.6,0,0,,0,0,15,203,13.5,4,
626,Marvis Parrish*,Western Kentucky,CUSA,13,36,203,5.6,1,15.6,106,576,5.4,1,44.3,142,779,5.5,2,
627,Bryce Yates*,Pitt,ACC,11,11,202,18.4,1,18.4,0,0,,0,0,11,202,18.4,1,
628,Mark Hamper*,California,ACC,9,17,202,11.9,0,22.4,0,0,,0,0,17,202,11.9,0,
629,TJ Abrams,Florida,SEC,10,14,202,14.4,0,20.2,0,0,,0,0,14,202,14.4,0,
630,Amorion Walker,Middle Tennessee State,CUSA,10,15,201,13.4,1,20.1,0,0,,0,0,15,201,13.4,1,
631,Josh Smith,Tulsa,American,9,9,201,22.3,1,22.3,0,0,,0,0,9,201,22.3,1,
632,Miles Davis*,Utah State,MWC,13,28,201,7.2,3,15.5,131,731,5.6,8,56.2,159,932,5.9,11,
633,Bo Jackson,Ohio State,Big Ten,13,19,200,10.5,1,15.4,179,1090,6.1,6,83.8,198,1290,6.5,7,
634,Jaylen Bonelli*,Arkansas State,Sun Belt,13,22,200,9.1,3,15.4,1,-1,-1,0,-0.1,23,199,8.7,3,
635,Justyn Reid,Tulane,American,14,17,200,11.8,3,14.3,0,0,,0,0,17,200,11.8,3,
636,Ricky Ahumaraeze*,Northwestern,Big Ten,13,10,200,20,0,15.4,0,0,,0,0,10,200,20,0,
637,Sedrick Alexander*,Vanderbilt,SEC,13,19,200,10.5,4,15.4,105,567,5.4,11,43.6,124,767,6.2,15,
638,Takye Heath,Virginia Tech,ACC,9,22,200,9.1,3,22.2,1,5,5,0,0.6,23,205,8.9,3,
639,Javonnie Gibson,Oklahoma,SEC,9,18,199,11.1,1,22.1,0,0,,0,0,18,199,11.1,1,
640,Max Dowling,Massachusetts,MAC,12,20,199,10,3,16.6,0,0,,0,0,20,199,10,3,
641,Shawn Miller*,New Mexico,MWC,12,15,199,13.3,1,16.6,0,0,,0,0,15,199,13.3,1,
642,Zach Marshall*,Michigan,Big Ten,13,16,199,12.4,1,15.3,0,0,,0,0,16,199,12.4,1,
643,Nate Boerkircher,Texas A&M,SEC,13,19,198,10.4,3,15.2,3,5,1.7,1,0.4,22,203,9.2,4,
644,Terik Mulder,Kent State,MAC,10,19,198,10.4,4,19.8,0,0,,0,0,19,198,10.4,4,
645,Caleb Odom*,Ole Miss,SEC,15,19,197,10.4,2,13.1,0,0,,0,0,19,197,10.4,2,
646,Dawson Pough,Boston College,ACC,12,13,197,15.2,1,16.4,0,0,,0,0,13,197,15.2,1,
647,Donovan Murph,South Carolina,SEC,12,14,197,14.1,1,16.4,0,0,,0,0,14,197,14.1,1,
648,James Tucker*,Coastal Carolina,Sun Belt,13,10,197,19.7,2,15.2,1,7,7,0,0.5,11,204,18.5,2,
649,Cash Jones,Georgia,SEC,14,20,195,9.8,1,13.9,13,15,1.2,0,1.1,33,210,6.4,1,
650,Josh Kattus,Kentucky,SEC,11,17,195,11.5,2,17.7,0,0,,0,0,17,195,11.5,2,
651,Micah Tease,Tulsa,American,7,12,195,16.3,1,27.9,2,21,10.5,0,3,14,216,15.4,1,
652,Terry Bussey,Texas A&M,SEC,13,18,195,10.8,1,15,1,1,1,0,0.1,19,196,10.3,1,
653,Chase Belcher*,Kennesaw State,CUSA,13,13,194,14.9,2,14.9,107,566,5.3,2,43.5,120,760,6.3,4,
654,Isaiah Spencer,Virginia Tech,ACC,12,14,194,13.9,0,16.2,1,3,3,0,0.3,15,197,13.1,0,
655,Louis Hansen*,Connecticut,Ind,13,20,194,9.7,0,14.9,0,0,,0,0,20,194,9.7,0,
656,Terrell Crosby*,Toledo,MAC,13,16,194,12.1,1,14.9,1,6,6,0,0.5,17,200,11.8,1,
657,Kenji Christian*,Toledo,MAC,13,17,193,11.4,1,14.8,105,528,5,4,40.6,122,721,5.9,5,
658,Tre Shackelford,Tulane,American,14,13,193,14.8,1,13.8,0,0,,0,0,13,193,14.8,1,
659,Jaquari Lewis*,Appalachian State,Sun Belt,13,32,192,6,0,14.8,140,618,4.4,6,47.5,172,810,4.7,6,
660,Jordon Simmons,Georgia State,Sun Belt,12,28,192,6.9,1,16,97,543,5.6,2,45.3,125,735,5.9,3,
661,Ke'Travion Hargrove*,Old Dominion,Sun Belt,13,6,192,32,2,14.8,64,268,4.2,4,20.6,70,460,6.6,6,
662,Lacota Dippre,James Madison,Sun Belt,14,17,192,11.3,3,13.7,4,49,12.3,1,3.5,21,241,11.5,4,
663,Malachi Thomas*,Pitt,ACC,13,13,192,14.8,2,14.8,0,0,,0,0,13,192,14.8,2,
664,Caleb Ramseur,Nevada,MWC,12,18,191,10.6,3,15.9,139,683,4.9,5,56.9,157,874,5.6,8,
665,Jacob Godfrey,Louisiana-Monroe,Sun Belt,11,16,191,11.9,2,17.4,4,35,8.8,0,3.2,20,226,11.3,2,
666,Jacob Jenkins,Liberty,CUSA,12,14,191,13.6,2,15.9,0,0,,0,0,14,191,13.6,2,
667,Koby Young*,Houston,Big 12,13,12,191,15.9,0,14.7,1,8,8,0,0.6,13,199,15.3,0,
668,Tyler Brown*,Clemson,ACC,13,22,191,8.7,0,14.7,6,71,11.8,1,5.5,28,262,9.4,1,
669,Viron Ellison Jr.*,Delaware,CUSA,13,21,191,9.1,2,14.7,118,460,3.9,4,35.4,139,651,4.7,6,
670,Elijah Sessoms*,Delaware,CUSA,13,22,190,8.6,2,14.6,0,0,,0,0,22,190,8.6,2,
671,Nathan Acevedo*,San Diego State,MWC,12,16,190,11.9,0,15.8,1,-8,-8,0,-0.7,17,182,10.7,0,
672,Antonio Meeks*,Louisville,ACC,13,17,189,11.1,1,14.5,1,-5,-5,0,-0.4,18,184,10.2,1,
673,Cameron Barmore*,Arizona,Big 12,13,19,189,9.9,2,14.5,0,0,,0,0,19,189,9.9,2,
674,Daylan Smothers*,North Carolina State,ACC,11,37,189,5.1,1,17.2,160,939,5.9,6,85.4,197,1128,5.7,7,
675,DJ Allen*,UTSA,American,12,20,189,9.5,3,15.8,0,0,,0,0,20,189,9.5,3,
676,Jay Maclin,Kentucky,SEC,10,13,189,14.5,0,18.9,0,0,,0,0,13,189,14.5,0,
677,DeAngelo Irvin Jr.*,Nevada-Las Vegas,MWC,14,18,188,10.4,1,13.4,2,3,1.5,0,0.2,20,191,9.6,1,
678,Kaden Feagin*,Illinois,Big Ten,13,16,188,11.8,2,14.5,122,507,4.2,7,39,138,695,5,9,
679,Camryn Edwards*,Connecticut,Ind,13,19,187,9.8,1,14.4,210,1240,5.9,15,95.4,229,1427,6.2,16,
680,Will Nixon,Syracuse,ACC,12,26,187,7.2,0,15.6,107,432,4,3,36,133,619,4.7,3,
681,Ed Small*,Texas Christian,Big 12,7,16,186,11.6,2,26.6,1,-13,-13,0,-1.9,17,173,10.2,2,
682,Eric Holley*,Toledo,MAC,12,14,186,13.3,1,15.5,0,0,,0,0,14,186,13.3,1,
683,Trey Leckner*,Washington State,Ind,13,24,186,7.8,3,14.3,0,0,,0,0,24,186,7.8,3,
684,Gabe Milbourn,Oregon State,Ind,12,17,185,10.9,1,15.4,0,0,,0,0,17,185,10.9,1,
685,Karmello English*,Coastal Carolina,Sun Belt,13,20,185,9.3,3,14.2,0,0,,0,0,20,185,9.3,3,
686,Nahree Biggins*,Central Michigan,MAC,12,19,185,9.7,1,15.4,105,540,5.1,2,45,124,725,5.8,3,
687,Wayshawn Parker*,Utah,Big 12,13,13,185,14.2,3,14.2,149,981,6.6,6,75.5,162,1166,7.2,9,
688,Jerand Bradley,Kansas State,Big 12,9,13,184,14.2,2,20.4,0,0,,0,0,13,184,14.2,2,
689,Samuel Harris,Wyoming,MWC,11,16,184,11.5,0,16.7,100,558,5.6,1,50.7,116,742,6.4,1,
690,Terrence Lewis*,North Texas,American,12,11,184,16.7,3,15.3,0,0,,0,0,11,184,16.7,3,
691,Finn Hogan,Bowling Green,MAC,12,13,183,14.1,0,15.3,0,0,,0,0,13,183,14.1,0,
692,Jordan Brown,Nevada,MWC,8,16,183,11.4,0,22.9,0,0,,0,0,16,183,11.4,0,
693,Kadinn Morris*,Southern Mississippi,Sun Belt,12,15,183,12.2,2,15.3,0,0,,1,0,15,183,12.2,3,
694,Jacob Harris,Bowling Green,MAC,12,19,182,9.6,5,15.2,0,0,,0,0,19,182,9.6,5,
695,Myles Montgomery,UCF,Big 12,11,17,182,10.7,0,16.5,143,705,4.9,4,64.1,160,887,5.5,4,
696,Payton Mangrum*,East Carolina,American,13,10,182,18.2,1,14,1,-3,-3,0,-0.2,11,179,16.3,1,
697,Al-Jay Henderson,Buffalo,MAC,12,25,181,7.2,1,15.1,182,755,4.1,6,62.9,207,936,4.5,7,
698,Landon Collins,Middle Tennessee State,CUSA,5,16,181,11.3,1,36.2,0,0,,0,0,16,181,11.3,1,
699,Marcus Burke,UCF,Big 12,9,13,181,13.9,0,20.1,1,-5,-5,0,-0.6,14,176,12.6,0,
700,Andrew Rappleyea*,Penn State,Big Ten,13,20,180,9,3,13.8,0,0,,0,0,20,180,9,3,
701,Chris Johnson Jr.*,SMU,ACC,12,17,180,10.6,1,15,67,479,7.1,4,39.9,84,659,7.8,5,
702,Deion Colzie*,Miami (OH),MAC,11,11,178,16.2,1,16.2,0,0,,0,0,11,178,16.2,1,
703,Joshisa Trader*,Miami (FL),ACC,11,13,178,13.7,1,16.2,0,0,,0,0,13,178,13.7,1,
704,Tim Grear Jr.,Akron,MAC,12,14,178,12.7,1,14.8,0,0,,0,0,14,178,12.7,1,
705,Aidan Mizell,Florida,SEC,8,19,177,9.3,1,22.1,0,0,,0,0,19,177,9.3,1,
706,Benson Prosper,Eastern Michigan,MAC,11,21,177,8.4,0,16.1,9,41,4.6,0,3.7,30,218,7.3,0,
707,Branden Hoch,Florida Atlantic,American,11,12,177,14.8,0,16.1,0,0,,0,0,12,177,14.8,0,
708,Jalen Mickens*,Louisiana Tech,CUSA,13,20,177,8.9,1,13.6,1,6,6,0,0.5,21,183,8.7,1,
709,Kewan Lacy*,Ole Miss,SEC,15,29,177,6.1,0,11.8,306,1567,5.1,24,104.5,335,1744,5.2,24,
710,Xavier Daisy,UAB,American,11,18,177,9.8,1,16.1,0,0,,0,0,18,177,9.8,1,
711,DJ Riles,Georgia State,Sun Belt,12,16,176,11,1,14.7,0,0,,0,0,16,176,11,1,
712,Kevin Riley,Alabama,SEC,11,19,176,9.3,1,16,59,224,3.8,2,20.4,78,400,5.1,3,
713,Ryder Treadway*,Toledo,MAC,11,13,176,13.5,3,16,0,0,,0,0,13,176,13.5,3,
714,Wyatt Sullivan*,South Florida,American,13,18,176,9.8,2,13.5,0,0,,0,0,18,176,9.8,2,
715,DJ Miller,Kentucky,SEC,7,13,175,13.5,2,25,0,0,,0,0,13,175,13.5,2,
716,Kadarius Calloway,New Mexico State,CUSA,12,26,175,6.7,0,14.6,115,438,3.8,3,36.5,141,613,4.3,3,
717,Christian Ross*,Memphis,American,13,18,174,9.7,1,13.4,0,0,,0,0,18,174,9.7,1,
718,Dallas Wilson,Florida,SEC,4,12,174,14.5,3,43.5,0,0,,0,0,12,174,14.5,3,
719,Malik Phillips,Sam Houston,CUSA,12,18,174,9.7,1,14.5,0,0,,0,0,18,174,9.7,1,
720,Drew Wagner*,Northwestern,Big Ten,10,22,172,7.8,2,17.2,3,17,5.7,0,1.7,25,189,7.6,2,
721,Rashod Dubinion*,Appalachian State,Sun Belt,12,27,170,6.3,0,14.2,174,868,5,4,72.3,201,1038,5.2,4,
722,Jahill McClain*,Fresno State,MWC,13,13,169,13,1,13,0,0,,0,0,13,169,13,1,
723,Jaren Hamilton*,Arizona State,Big 12,13,7,169,24.1,0,13,2,-1,-0.5,0,-0.1,9,168,18.7,0,
724,Brady Hunt,South Carolina,SEC,12,21,168,8,0,14,3,3,1,2,0.3,24,171,7.1,2,
725,Carter Pabst*,Washington State,Ind,9,9,168,18.7,1,18.7,0,0,,0,0,9,168,18.7,1,
726,Jordan Mosely*,Mississippi State,SEC,12,8,168,21,1,14,0,0,,0,0,8,168,21,1,
727,Theo Melin Öhrström,Texas A&M,SEC,13,19,168,8.8,1,12.9,0,0,,0,0,19,168,8.8,1,
728,Tyler Griffin,Louisiana-Monroe,Sun Belt,10,13,168,12.9,2,16.8,0,0,,0,0,13,168,12.9,2,
729,Var'keyes Gumms*,Nevada-Las Vegas,MWC,10,11,168,15.3,3,16.8,0,0,,0,0,11,168,15.3,3,
730,Will Kacmarek,Ohio State,Big Ten,14,15,168,11.2,2,12,0,0,,0,0,15,168,11.2,2,
731,Chase Curtis*,Texas Christian,Big 12,13,13,167,12.8,2,12.8,1,3,3,0,0.2,14,170,12.1,2,
732,Jalen Brown,Arkansas,SEC,5,12,167,13.9,2,33.4,0,0,,0,0,12,167,13.9,2,
733,Khalil Dinkins*,Penn State,Big Ten,12,14,167,11.9,2,13.9,0,0,,0,0,14,167,11.9,2,
734,Ahmon Green*,Georgia Southern,Sun Belt,13,16,166,10.4,0,12.8,0,0,,0,0,16,166,10.4,0,
735,Alex Bauman*,Miami (FL),ACC,16,18,166,9.2,1,10.4,0,0,,0,0,18,166,9.2,1,
736,Jabari Smith Jr.,Florida Atlantic,American,11,15,166,11.1,3,15.1,0,0,,0,0,15,166,11.1,3,
737,Cameron Seldon,Virginia Tech,ACC,11,23,165,7.2,2,15,7,28,4,0,2.5,30,193,6.4,2,
738,Davon Booth*,Mississippi State,SEC,12,15,165,11,2,13.8,136,553,4.1,7,46.1,151,718,4.8,9,
739,Kelby Williams*,Western Kentucky,CUSA,11,11,165,15,0,15,0,0,,0,0,11,165,15,0,
740,Roman Hemby*,Indiana,Big Ten,16,17,165,9.7,0,10.3,230,1120,4.9,7,70,247,1285,5.2,7,
741,Elijah Lagg,UAB,American,12,20,164,8.2,0,13.7,0,0,,0,0,20,164,8.2,0,
742,Keyvone Lee*,Nevada-Las Vegas,MWC,14,19,164,8.6,0,11.7,100,438,4.4,6,31.3,119,602,5.1,6,
743,Marshaun Brown,Nevada,MWC,10,16,164,10.3,1,16.4,0,0,,0,0,16,164,10.3,1,
744,Alex Honig*,Connecticut,Ind,12,13,162,12.5,3,13.5,1,26,26,0,2.2,14,188,13.4,3,
745,Caleb Gossett*,Ohio,MAC,13,12,162,13.5,0,12.5,0,0,,0,0,12,162,13.5,0,
746,Nick Laboy*,Delaware,CUSA,13,10,162,16.2,2,12.5,0,0,,0,0,10,162,16.2,2,
747,Tony Johnson*,Miami (FL),ACC,8,7,162,23.1,0,20.3,0,0,,0,0,7,162,23.1,0,
748,DJ McKinney*,New Mexico,MWC,13,15,161,10.7,0,12.4,111,464,4.2,7,35.7,126,625,5,7,
749,Jojo Phillips*,BYU,Big 12,8,14,161,11.5,0,20.1,0,0,,0,0,14,161,11.5,0,
750,Malcolm Gillie*,Coastal Carolina,Sun Belt,13,8,161,20.1,2,12.4,2,17,8.5,0,1.3,10,178,17.8,2,
751,Derrick McFall*,SMU,ACC,13,19,160,8.4,2,12.3,35,189,5.4,4,14.5,54,349,6.5,6,
752,Kahanu Davis*,Utah State,MWC,13,6,160,26.7,1,12.3,0,0,,0,0,6,160,26.7,1,
753,Brandon Chatman*,Navy,American,13,17,159,9.4,0,12.2,57,431,7.6,3,33.2,74,590,8,3,
754,Demon June,North Carolina,ACC,12,17,159,9.4,1,13.3,84,464,5.5,2,38.7,101,623,6.2,3,
755,Mike Kirch,Florida Atlantic,American,12,15,159,10.6,3,13.3,0,0,,0,0,15,159,10.6,3,
756,Drelon Miller,Colorado,Big 12,11,20,158,7.9,1,14.4,46,134,2.9,1,12.2,66,292,4.4,2,
757,Johnny Pascuzzi,Tulane,American,14,12,158,13.2,1,11.3,0,0,,0,0,12,158,13.2,1,
758,Lawson Luckie,Georgia,SEC,14,15,158,10.5,4,11.3,0,0,,0,0,15,158,10.5,4,
759,Luke Harpring*,Georgia Tech,ACC,13,13,158,12.2,0,12.2,0,0,,0,0,13,158,12.2,0,
760,Gerard Bullock*,Kennesaw State,CUSA,14,23,157,6.8,1,11.2,0,0,,0,0,23,157,6.8,1,
